Model,R2,MAE,RMSE
GradientBoostingRegressor,0.3282499009261237,1.547381624566116,2.301288038757024
RandomForestRegressor,0.3258520188615227,1.3409,2.305391723764098
LinearRegression,-0.009874216547963055,2.1062923130542974,2.821634473415261
